time,x,y,z
13:27:30:735,-0.46,-0.18,10.37
13:27:30:838,0.3,-0.04,10
13:27:30:877,0.04,0.07,9.99
13:27:30:998,0.51,-0.06,9.83
13:27:31:159,0.17,0.09,9.81
13:27:31:220,0.09,0.11,9.89
13:27:31:331,-0.06,0.16,10
13:27:31:440,-0.18,0.15,10.1
13:27:31:542,-0.42,0.11,10.0
13:27:31:634,-0.5,0.11,10.0
13:27:31:712,-0.57,0.09,10.0
13:27:31:780,-0.54,0.1,10.35
13:27:31:822,-0.6,0.09,10.36
13:27:31:877,-0.57,0.09,10.35
13:27:32:22,0.86,0.13,9.65
13:27:32:65,1.84,0.11,9.83
13:27:32:190,0.28,0.01,9.7
13:27:32:271,-0.2,0.05,10.1
13:27:32:359,-1.87,0.07,10.0
13:27:32:487,2.18,0.03,10.0
13:27:32:578,1.4,-0.04,9.61
13:27:32:611,1.92,-0.19,9.83
13:27:32:735,0.18,-0.01,9.98
13:27:32:797,0.02,0.06,10.01
13:27:32:851,0.32,0.13,9.63
13:27:32:972,0.61,0.13,9.6
13:27:33:58,0.51,0.2,9.75
13:27:33:105,0.86,0.07,9.63
13:27:33:203,0.44,-0.08,9.92
13:27:33:314,0.65,0.03,9.55
13:27:33:399,-0.03,0.03,9.97
13:27:33:497,-0.02,0.25,9.75
13:27:33:547,0.61,0.17,9.63
13:27:33:685,0.96,0.26,9.71
13:27:33:772,0.34,0.24,9.61
13:27:33:864,0,0.16,10
13:27:33:966,0.77,0,9.82
13:27:34:26,0.77,0,9.82
13:27:34:121,0.59,0.11,9.67
13:27:34:278,-0.23,-0.12,10.41
13:27:34:228,-0.15,-0.18,10.26
13:27:34:331,-0.12,0.07,10.01
13:27:34:466,-0.14,0.11,10.01
13:27:34:548,0.15,0,9.88
13:27:34:648,0.08,0.02,10.04
13:27:34:738,-0.09,0.11,10.11
13:27:34:779,-0.02,0.16,9.96
13:27:34:916,0.38,0.1,9.7
13:27:35:79,1.95,-0.08,9.78
13:27:35:163,1.04,-0.09,9.86
13:27:35:221,-0.03,-0.09,10.31
13:27:35:346,-0.98,0.3,10.13
13:27:35:431,0.09,1,10.06
13:27:35:534,-1.55,5.81,6.75
13:27:35:585,-0.19,0.62,9.74
13:27:35:714,-1.52,0.42,10.2
13:27:35:766,-0.75,0.74,10.08
13:27:35:825,-0.75,0.74,10.08
13:27:35:893,-1.06,0.67,10.17
13:27:36:51,-0.9,-0.06,10.58
13:27:36:110,-0.72,-0.14,10.72
13:27:36:181,-0.79,-0.04,10.56
13:27:36:268,-0.95,0.22,10.16
13:27:36:352,-1.01,0.19,10.31
13:27:36:465,-0.56,0.08,10.3
13:27:36:614,-0.15,0.06,10.1
13:27:36:680,-0.2,0.09,10.16
13:27:36:732,-0.14,0.07,10.13
13:27:36:782,-0.14,0.07,10.13
13:27:36:935,-6.15,-0.38,12.3
13:27:36:978,-2.95,-0.69,11.25
13:27:37:38,-1.39,-1.21,10.51
13:27:37:94,-0.59,-0.88,10.8
13:27:37:212,0.02,-0.13,10.28
13:27:37:274,0.02,-0.13,10.28
13:27:37:340,-0.14,-0.05,10.38
13:27:37:440,0.15,0.11,9.8
13:27:37:510,0.04,0.13,9.89
13:27:37:654,-0.31,0.14,10.19
13:27:37:747,-0.24,0.1,10.13
13:27:37:819,-0.39,0.09,10.24
13:27:37:915,-0.46,0.09,10.28
13:27:38:34,-0.47,0.04,10.3
13:27:38:155,0.72,0.09,9.6
13:27:38:206,2.65,0.06,10.13
13:27:38:315,0.96,-0.09,9.76
13:27:38:503,-0.23,0,10.27
13:27:38:562,0.13,0,9.86
13:27:38:675,0.92,-0.07,9.86
13:27:38:763,0.8,-0.09,9.86
13:27:38:808,0.62,-0.09,9.77
13:27:38:927,0.54,-0.08,9.73
13:27:39:59,0.3,-0.05,9.8
13:27:39:142,0.26,-0.02,9.77
13:27:39:306,0.54,-0.05,9.72
13:27:39:431,0.95,-0.09,9.77
13:27:39:470,1.2,-0.09,9.82
13:27:39:630,1,-0.02,9.7
13:27:39:733,-0.61,0.25,10.07
13:27:39:805,0.25,-0.09,10.15
13:27:39:929,0.54,0.14,10.21
13:27:39:986,-0.37,0.04,9.83
13:27:40:55,0.13,-0.19,9.84
13:27:40:147,1.78,-0.49,9.88
13:27:40:272,1.1,-0.92,9.99
13:27:40:380,0.1,-1,9.94
13:27:40:667,-1.18,0.79,9.85
13:27:40:860,-1.9,0.39,10.64
13:27:40:956,-3.47,0.06,10.74
13:27:41:96,-2.77,0.94,9.25
13:27:41:267,-0.88,0.54,10
13:27:41:392,-0.49,0.03,10.99
13:27:41:548,-1.1,0.64,10.06
13:27:41:652,-1.58,0.38,10.22
13:27:41:739,-1.58,0.38,10.22
13:27:41:901,-1.4,0.48,10.35
13:27:41:952,-1.23,0.23,10.42
13:27:42:114,-0.58,0.05,10.27
13:27:42:47,-0.55,0.03,10.45
13:27:42:273,-0.63,0.38,10.34
13:27:42:845,-1.12,0.19,14.43
13:27:42:878,-1.75,0.79,12.4
13:27:43:351,1.12,6.41,-0.24
13:27:43:395,-3.91,8.64,0.71
13:27:43:490,-3.91,8.64,0.71
13:27:43:533,-0.05,8,0.63
13:27:43:625,-0.44,15.47,2.43
13:27:43:705,-0.34,7.31,0.77
13:27:43:816,-0.21,6.73,1.29
13:27:43:897,0.18,10.82,1.32
13:27:43:975,-1.02,10.88,-0.18
13:27:44:325,-1.55,10.88,1.04
13:27:44:391,-0.49,8.86,0.03
13:27:44:558,0.67,9.86,0.01
13:27:44:616,0.09,10.8,0.19
13:27:44:682,-0.62,10.26,0.36
13:27:44:725,-0.43,11.23,0.58
13:27:44:804,-5.55,8.59,-0.54
13:27:44:877,-0.15,10.43,2.35
13:27:44:971,0.06,11.21,1.1
13:27:45:144,2.08,10.21,0.72
13:27:45:244,0.01,9.29,0.79
13:27:45:401,3.74,6.32,2.34
13:27:45:452,-2.39,11.22,0.79
13:27:45:569,-3.59,11.07,-0.1
13:27:45:625,-3.59,11.07,-0.1
13:27:45:664,-0.6,10,-0.45
13:27:45:746,-0.49,10.54,0.0
13:27:45:855,1.21,8.94,-0.0
13:27:46:26,1.86,9.28,-0.29
13:27:46:132,-0.42,6.11,1.68
13:27:46:242,-10.52,13.65,-5.1
13:27:46:307,5.51,7.82,0.73
13:27:46:365,-0.72,11.34,0.47
13:27:46:457,4.95,8.63,0.7
13:27:46:546,2.31,11.1,-0.22
13:27:46:623,-1.4,10.49,0.49
13:27:46:669,4.72,10.3,-1.06
13:27:46:799,2.1,9.67,-0.14
13:27:46:905,1.02,10.16,-0.49
13:27:47:28,1.25,9.95,-0.58
13:27:47:88,0.94,10.58,-0.93
13:27:47:258,1.29,9.11,0.37
13:27:47:366,0.85,10.37,-0.7
13:27:47:540,0.37,10.18,-0.5
13:27:47:595,0.03,10.1,-0.3
13:27:47:762,1.06,9.94,-0.56
13:27:47:857,1.06,9.99,-0.55
13:27:48:41,1.03,9.74,-0.38
13:27:48:252,0.87,9.98,-0.53
13:27:48:369,0.83,9.95,-0.48
13:27:48:484,0.9,9.93,-0.49
13:27:48:556,0.76,10.05,-0.58
13:27:48:652,0.97,9.99,-0.54
13:27:48:751,0.99,9.85,-0.45
13:27:48:888,0.98,10.02,-0.59
13:27:48:935,0.94,10.05,-0.62
13:27:49:69,0.9,10.04,-0.58
13:27:49:167,1.08,9.79,-0.4
13:27:49:351,0.92,9.95,-0.49
13:27:49:428,1.08,9.78,-0.41
13:27:49:555,1.29,10.01,-0.41
13:27:49:634,1.38,10.04,-0.73
13:27:49:728,1,10.05,-0.53
13:27:49:786,1.4,9.77,-0.6
13:27:49:836,1.4,9.6,-0.29
13:27:49:874,1.4,9.6,-0.29
13:27:49:902,2.04,9.4,-0.41
13:27:50:88,0.52,10.17,-0.99
13:27:50:260,0.74,9.69,-0.25
13:27:50:511,1.39,9.71,-0.17
13:27:50:647,1.14,10.04,-0.89
13:27:50:753,1.01,9.96,-0.68
13:27:50:860,1.26,10,-0.75
13:27:50:928,0.65,10.13,-0.89
13:27:51:43,0.98,9.59,-0.28
13:27:51:176,0.76,9.92,-0.51
13:27:51:270,0.93,9.55,-0.41
13:27:51:338,0.88,10.04,-0.91
13:27:51:550,0.8,9.93,-0.59
13:27:51:627,0.97,10.14,-0.6
13:27:51:727,0.75,9.93,-0.64
13:27:51:834,0.7,10.26,-0.77
13:27:51:962,0.89,10.1,-0.69
13:27:52:89,0.7,9.87,-0.52
13:27:52:191,1.11,10.07,-0.68
13:27:52:275,0.97,9.85,-0.52
13:27:52:321,0.85,10,-0.54
13:27:52:391,1,10.08,-0.6
13:27:52:467,0.88,9.94,-0.59
13:27:52:610,0.96,9.98,-0.55
13:27:52:651,1.08,9.52,-0.65
13:27:52:832,1.06,9.12,-0.46
13:27:52:952,1.04,9.49,-0.51
13:27:53:49,1,9.27,-0.56
13:27:53:93,1,9.27,-0.56
13:27:53:293,0.93,9.03,-0.47
13:27:53:397,0.95,9.05,-0.41
13:27:53:447,1.11,9.23,-0.5
13:27:53:584,1.09,9.31,-0.5
13:27:53:641,1.02,9.18,-0.32
13:27:53:690,1.08,9.29,-0.32
13:27:53:796,1.15,9.57,-0.56
13:27:53:874,1.05,9.81,-0.63
13:27:53:947,1.03,9.86,-0.61
13:27:54:85,0.92,9.66,-0.34
13:27:54:109,0.86,9.58,-0.28
13:27:54:261,1.05,10.03,-0.58
13:27:54:331,1,9.85,-0.34
13:27:54:385,1,9.85,-0.34
13:27:54:435,1,9.92,-0.56
13:27:54:506,0.97,10.01,-0.53
13:27:54:584,0.97,9.79,-0.48
13:27:54:713,0.97,10.07,-0.63
13:27:54:820,0.9,9.86,-0.45
13:27:54:945,0.99,10.08,-0.64
13:27:55:104,0.88,10.05,-0.72
13:27:55:165,0.97,9.87,-0.47
13:27:55:229,0.89,10,-0.52
13:27:55:332,0.83,10.05,-0.5
13:27:55:457,0.94,9.64,-0.2
13:27:55:564,0.79,10.14,-0.68
13:27:55:609,1.12,10.21,-0.57
13:27:55:678,0.92,10.28,-0.91
13:27:55:823,0.87,10.07,-0.63
13:27:55:924,1.2,9.57,-0.3
13:27:55:984,0.62,9.93,-0.47
13:27:56:30,1.47,9.31,0.17
13:27:56:104,0.77,10.31,-1.3
13:27:56:229,1.27,10.11,-0.46
13:27:56:257,1.14,9.64,-0.4
13:27:56:432,0.84,9.97,-0.41
13:27:56:566,0.72,10.04,-0.49
13:27:56:677,1,9.97,-0.49
13:27:56:744,0.77,10.1,-0.82
13:27:56:817,0.95,10.07,-0.65
13:27:56:879,1.02,9.9,-0.45
13:27:56:965,0.92,10.09,-0.71
13:27:57:44,1.01,9.96,-0.63
13:27:57:193,0.8,10.03,-0.69
13:27:57:278,0.79,10,-0.57
13:27:57:377,0.84,9.96,-0.59
13:27:57:515,0.9,9.95,-0.57
13:27:57:552,0.9,9.95,-0.57
13:27:57:611,0.89,10.02,-0.6
13:27:57:777,1.01,10.06,-0.62
13:27:57:869,1,10.05,-0.66
13:27:57:991,1,9.9,-0.58
13:27:58:132,0.88,9.99,-0.65
13:27:58:224,0.89,9.94,-0.5
13:27:58:293,1.03,10.01,-0.65
13:27:58:412,0.91,9.93,-0.52
13:27:58:431,0.91,9.93,-0.52
13:27:58:598,0.83,10.02,-0.63
13:27:58:705,0.93,9.93,-0.52
13:27:58:747,0.96,9.94,-0.59
13:27:58:837,1.02,9.92,-0.58
13:27:59:15,1.03,9.99,-0.55
13:27:59:122,1,9.92,-0.6
13:27:59:218,0.94,10.02,-0
13:27:59:311,0.91,9.95,-0.61
13:27:59:411,0.89,10.03,-0.56
13:27:59:505,1,9.99,-0.58
13:27:59:605,0.84,9.96,-0.69
13:27:59:815,0.92,10.02,-0.64
13:27:59:993,0.85,9.99,-0.66
