time,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed
8:0:26:867,56.307873,44.080495,3.700000,173.4,0,9,0.9527508616447449
8:0:27:898,56.307885,44.080495,3.700000,173.6,0,12,1.082460880279541
8:0:28:937,56.307897,44.080492,3.700000,173.7,0,342,0.8498063683509827
8:0:30:186,56.307903,44.080472,3.800000,173.6,0,287,0
8:0:31:83,56.307890,44.080448,3.800000,173.5,0,245,1.9981516599655151
8:0:31:60,56.307890,44.080448,3.900000,173.5,0,245,1.9981516599655151
8:0:31:667,56.307885,44.080413,3.900000,173.6,0,247,0
8:0:32:940,56.307870,44.080375,4.000000,173.7,0,244,3.0703179836273193
8:0:33:970,56.307858,44.080328,4.200000,173.9,0,244,3.294222116470337
8:0:34:953,56.307842,44.080272,4.400000,174.3,0,243,3.964390516281128
8:0:35:895,56.307820,44.080218,4.500000,174.6,0,240,4.1254987716674805
8:0:36:959,56.307793,44.080165,4.600000,174.9,0,236,4.421463966369629
8:0:37:959,56.307780,44.080103,4.700000,175.1,0,239,4.306680679321289
8:0:38:999,56.307762,44.080052,4.800000,175.2,0,235,3.8660786151885986
8:0:40:31,56.307752,44.079997,4.900000,175.2,0,239,3.720412254333496
8:0:40:647,56.307732,44.079945,4.900000,175.2,0,235,3.7389421463012695
8:0:41:640,56.307718,44.079885,5.000000,175.1,0,239,3.972626209259033
8:0:42:694,56.307715,44.079810,5.100000,174.9,0,249,4.59235143661499
8:0:43:734,56.307703,44.079753,5.100000,174.9,0,242,3.224220037460327
8:0:44:727,56.307687,44.079705,5.100000,174.7,0,238,3.2442941665649414
8:0:45:741,56.307687,44.079652,5.100000,174.5,0,247,3.1372318267822266
8:0:46:704,56.307652,44.079610,5.000000,174,0,236,3.3420913219451904
8:0:47:731,56.307637,44.079570,5.000000,173.5,0,229,2.285881280899048
8:0:48:831,56.307622,44.079547,4.900000,173.1,0,215,1.3475427627563477
8:0:49:809,56.307610,44.079537,4.900000,172.7,0,198,0.5039130449295044
8:0:49:887,56.307610,44.079537,4.900000,172.7,0,198,0.5039130449295044
8:0:50:890,56.307612,44.079530,4.900000,172.4,0,199,0
8:0:51:923,56.307612,44.079518,4.900000,172,0,253,0
8:0:54:183,56.307613,44.079512,4.900000,171.9,0,220,0
8:0:54:210,56.307613,44.079512,4.900000,171.9,0,220,0
8:0:54:787,56.307613,44.079512,4.900000,171.9,0,220,0
8:0:55:906,56.307705,44.079427,4.800000,174.1,0,358,0.4035422205924988
8:0:57:618,56.307730,44.079407,4.800000,174.7,0,328,0
8:0:57:698,56.307730,44.079407,4.800000,174.7,0,328,0
8:0:58:665,56.307735,44.079398,4.800000,174.9,0,319,0
8:0:59:701,56.307748,44.079387,4.900000,175.4,0,45,0
8:0:59:925,56.307748,44.079387,4.900000,175.4,0,45,0
8:1:0:589,56.307748,44.079387,4.900000,175.4,0,45,0
8:1:1:881,56.307748,44.079387,5.000000,175.4,0,45,0
8:1:2:699,56.307748,44.079387,5.200000,175.4,0,45,0
8:1:3:659,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:4:581,56.307748,44.079387,5.200000,175.4,0,45,0
8:1:5:586,56.307748,44.079387,5.200000,175.4,0,45,0
8:1:6:692,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:7:746,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:8:860,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:9:694,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:10:580,56.307748,44.079387,5.400000,175.4,0,45,0
8:1:11:913,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:12:808,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:13:703,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:14:802,56.307748,44.079387,5.300000,175.4,0,45,0
8:1:16:694,56.307842,44.079368,5.300000,180.3,0,329,0.43236666917800903
8:1:16:781,56.307842,44.079368,5.300000,180.3,0,329,0.43236666917800903
8:1:17:664,56.307860,44.079360,5.300000,180.7,0,330,0
8:1:18:694,56.307683,44.079415,4.200000,178.5,0,179,0
8:1:20:847,56.307655,44.079418,3.700000,178.2,0,224,0
8:1:21:947,56.307632,44.079440,3.500000,178.3,0,145,0.4179544448852539
8:1:22:649,56.307623,44.079417,3.900000,178.4,0,243,0
8:1:23:742,56.307613,44.079420,3.400000,178.5,0,12,0.6078869700431824
8:1:24:791,56.307608,44.079442,3.300000,178.7,0,40,0
8:1:25:839,56.307607,44.079443,3.300000,178.8,0,302,0
8:1:26:895,56.307603,44.079458,3.200000,178.9,0,42,0
8:1:28:112,56.307602,44.079465,3.200000,179,0,38,0
8:1:28:665,56.307602,44.079465,3.100000,179,0,38,0
8:1:29:778,56.307602,44.079465,3.100000,179,0,38,0
8:1:30:834,56.307602,44.079465,3.100000,179,0,38,0
8:1:32:530,56.307602,44.079465,3.100000,179,0,38,0
8:1:32:659,56.307602,44.079465,3.100000,179,0,38,0
8:1:33:692,56.307602,44.079465,3.900000,179,0,38,0
8:1:34:703,56.307602,44.079465,3.100000,179,0,38,0
8:1:35:819,56.307602,44.079465,3.200000,179,0,38,0
8:1:36:953,56.307602,44.079465,3.900000,179,0,38,0
8:1:38:151,56.307602,44.079465,3.900000,179,0,38,0
